TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,ENGINE_ATTRIBUTE,SECONDARY_ENGINE_ATTRIBUTE
acuart,artists,def,NULL,NULL
acuart,carts,def,NULL,NULL
acuart,categ,def,NULL,NULL
acuart,featured,def,NULL,NULL
acuart,guestbook,def,NULL,NULL
acuart,pictures,def,NULL,NULL
acuart,products,def,NULL,NULL
acuart,users,def,NULL,NULL
information_schema,ADMINISTRABLE_ROLE_AUTHORIZATIONS,def,NULL,NULL
information_schema,APPLICABLE_ROLES,def,NULL,NULL
information_schema,CHARACTER_SETS,def,NULL,NULL
information_schema,CHECK_CONSTRAINTS,def,NULL,NULL
information_schema,COLLATIONS,def,NULL,NULL
information_schema,COLLATION_CHARACTER_SET_APPLICABILITY,def,NULL,NULL
information_schema,COLUMNS,def,NULL,NULL
information_schema,COLUMNS_EXTENSIONS,def,NULL,NULL
information_schema,COLUMN_PRIVILEGES,def,NULL,NULL
information_schema,COLUMN_STATISTICS,def,NULL,NULL
information_schema,ENABLED_ROLES,def,NULL,NULL
information_schema,ENGINES,def,NULL,NULL
information_schema,EVENTS,def,NULL,NULL
information_schema,FILES,def,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,NULL,NULL
information_schema,INNODB_CACHED_INDEXES,def,NULL,NULL
information_schema,INNODB_CMP,def,NULL,NULL
information_schema,INNODB_CMPMEM,def,NULL,NULL
information_schema,INNODB_CMPMEM_RESET,def,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX,def,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX_RESET,def,NULL,NULL
information_schema,INNODB_CMP_RESET,def,NULL,NULL
information_schema,INNODB_COLUMNS,def,NULL,NULL
information_schema,INNODB_DATAFILES,def,NULL,NULL
information_schema,INNODB_FIELDS,def,NULL,NULL
information_schema,INNODB_FOREIGN,def,NULL,NULL
information_schema,INNODB_FOREIGN_COLS,def,NULL,NULL
information_schema,INNODB_FT_BEING_DELETED,def,NULL,NULL
information_schema,INNODB_FT_CONFIG,def,NULL,NULL
information_schema,INNODB_FT_DEFAULT_STOPWORD,def,NULL,NULL
information_schema,INNODB_FT_DELETED,def,NULL,NULL
information_schema,INNODB_FT_INDEX_CACHE,def,NULL,NULL
information_schema,INNODB_FT_INDEX_TABLE,def,NULL,NULL
information_schema,INNODB_INDEXES,def,NULL,NULL
information_schema,INNODB_METRICS,def,NULL,NULL
information_schema,INNODB_SESSION_TEMP_TABLESPACES,def,NULL,NULL
information_schema,INNODB_TABLES,def,NULL,NULL
information_schema,INNODB_TABLESPACES,def,NULL,NULL
information_schema,INNODB_TABLESPACES_BRIEF,def,NULL,NULL
information_schema,INNODB_TABLESTATS,def,NULL,NULL
information_schema,INNODB_TEMP_TABLE_INFO,def,NULL,NULL
information_schema,INNODB_TRX,def,NULL,NULL
information_schema,INNODB_VIRTUAL,def,NULL,NULL
information_schema,KEYWORDS,def,NULL,NULL
information_schema,KEY_COLUMN_USAGE,def,NULL,NULL
information_schema,OPTIMIZER_TRACE,def,NULL,NULL
information_schema,PARAMETERS,def,NULL,NULL
information_schema,PARTITIONS,def,NULL,NULL
information_schema,PLUGINS,def,NULL,NULL
information_schema,PROCESSLIST,def,NULL,NULL
information_schema,PROFILING,def,NULL,NULL
information_schema,REFERENTIAL_CONSTRAINTS,def,NULL,NULL
information_schema,RESOURCE_GROUPS,def,NULL,NULL
information_schema,ROLE_COLUMN_GRANTS,def,NULL,NULL
information_schema,ROLE_ROUTINE_GRANTS,def,NULL,NULL
information_schema,ROLE_TABLE_GRANTS,def,NULL,NULL
information_schema,ROUTINES,def,NULL,NULL
information_schema,SCHEMATA,def,NULL,NULL
information_schema,SCHEMATA_EXTENSIONS,def,NULL,NULL
information_schema,SCHEMA_PRIVILEGES,def,NULL,NULL
information_schema,STATISTICS,def,NULL,NULL
information_schema,ST_GEOMETRY_COLUMNS,def,NULL,NULL
information_schema,ST_SPATIAL_REFERENCE_SYSTEMS,def,NULL,NULL
information_schema,ST_UNITS_OF_MEASURE,def,NULL,NULL
information_schema,TABLES,def,NULL,NULL
information_schema,TABLESPACES,def,NULL,NULL
information_schema,TABLESPACES_EXTENSIONS,def,NULL,NULL
information_schema,TABLES_EXTENSIONS,def,NULL,NULL
information_schema,TABLE_CONSTRAINTS,def,NULL,NULL
information_schema,TABLE_CONSTRAINTS_EXTENSIONS,def,NULL,NULL
information_schema,TABLE_PRIVILEGES,def,NULL,NULL
information_schema,TRIGGERS,def,NULL,NULL
information_schema,USER_ATTRIBUTES,def,NULL,NULL
information_schema,USER_PRIVILEGES,def,NULL,NULL
information_schema,VIEWS,def,NULL,NULL
information_schema,VIEW_ROUTINE_USAGE,def,NULL,NULL
information_schema,VIEW_TABLE_USAGE,def,NULL,NULL

