TABLE_SCHEMA,TABLE_NAME,SPECIFIC_NAME,TABLE_CATALOG,SPECIFIC_SCHEMA,SPECIFIC_CATALOG
sys,x$ps_schema_table_statistics_io,extract_schema_from_file_name,def,sys,def
sys,x$ps_schema_table_statistics_io,extract_table_from_file_name,def,sys,def
sys,io_global_by_file_by_latency,format_path,def,sys,def
sys,io_global_by_file_by_bytes,format_path,def,sys,def
sys,latest_file_io,format_path,def,sys,def
sys,processlist,format_statement,def,sys,def
sys,statements_with_temp_tables,format_statement,def,sys,def
sys,statements_with_sorting,format_statement,def,sys,def
sys,statements_with_runtimes_in_95th_percentile,format_statement,def,sys,def
sys,statements_with_full_table_scans,format_statement,def,sys,def
sys,statements_with_errors_or_warnings,format_statement,def,sys,def
sys,statement_analysis,format_statement,def,sys,def
sys,schema_table_lock_waits,format_statement,def,sys,def
sys,innodb_lock_waits,format_statement,def,sys,def
sys,x$schema_table_lock_waits,ps_thread_account,def,sys,def
sys,schema_table_lock_waits,ps_thread_account,def,sys,def
sys,x$innodb_lock_waits,quote_identifier,def,sys,def
sys,innodb_lock_waits,quote_identifier,def,sys,def

