VIEW_NAME,VIEW_SCHEMA,TABLE_SCHEMA,VIEW_CATALOG,TABLE_NAME,TABLE_CATALOG
innodb_buffer_stats_by_schema,sys,information_schema,def,INNODB_BUFFER_PAGE,def
x$innodb_buffer_stats_by_schema,sys,information_schema,def,INNODB_BUFFER_PAGE,def
innodb_buffer_stats_by_table,sys,information_schema,def,INNODB_BUFFER_PAGE,def
x$innodb_buffer_stats_by_table,sys,information_schema,def,INNODB_BUFFER_PAGE,def
schema_object_overview,sys,information_schema,def,EVENTS,def
schema_object_overview,sys,information_schema,def,ROUTINES,def
schema_object_overview,sys,information_schema,def,STATISTICS,def
schema_object_overview,sys,information_schema,def,TABLES,def
schema_object_overview,sys,information_schema,def,TRIGGERS,def
schema_auto_increment_columns,sys,information_schema,def,COLUMNS,def
schema_auto_increment_columns,sys,information_schema,def,TABLES,def
x$schema_flattened_keys,sys,information_schema,def,STATISTICS,def
latest_file_io,sys,information_schema,def,PROCESSLIST,def
x$latest_file_io,sys,information_schema,def,PROCESSLIST,def
innodb_lock_waits,sys,information_schema,def,INNODB_TRX,def
x$innodb_lock_waits,sys,information_schema,def,INNODB_TRX,def
schema_unused_indexes,sys,information_schema,def,STATISTICS,def
metrics,sys,information_schema,def,INNODB_METRICS,def

